2025-03-12 13:21:26.7157 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/index.html - - 
2025-03-12 13:21:26.7340 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/index.html - - - 200 - text/html;charset=utf-8 18.5452ms 
2025-03-12 13:21:26.7454 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - 
2025-03-12 13:21:26.7454 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - 
2025-03-12 13:21:26.7454 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - - 200 11986 application/javascript;+charset=utf-8 0.2820ms 
2025-03-12 13:21:26.7614 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 16.0783ms 
2025-03-12 13:21:26.9308 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - 
2025-03-12 13:21:26.9375 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 6.8538ms 
2025-03-12 13:21:51.5550 | INFO | Request starting HTTP/1.1 POST http://localhost:5115/api/Users/login application/json 61 
2025-03-12 13:21:51.5577 | INFO | Request finished HTTP/1.1 POST http://localhost:5115/api/Users/login application/json 61 - 400 - - 9.0609ms 
2025-03-12 13:22:16.0526 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/index.html - - 
2025-03-12 13:22:16.0740 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/index.html - - - 200 - text/html;charset=utf-8 21.5728ms 
2025-03-12 13:22:16.0740 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - 
2025-03-12 13:22:16.0740 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - 
2025-03-12 13:22:16.0740 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - - 200 11986 application/javascript;+charset=utf-8 0.3467ms 
2025-03-12 13:22:16.0981 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 13.9139ms 
2025-03-12 13:22:16.1811 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - 
2025-03-12 13:22:16.1880 | INFO | Request finished HTTP/1.1 GET http://localhost:5115/swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 6.9887ms 
2025-03-12 13:22:30.5881 | INFO | Request starting HTTP/1.1 POST http://localhost:5115/api/Users/login application/json 61 
2025-03-12 13:22:30.5891 | INFO | Request finished HTTP/1.1 POST http://localhost:5115/api/Users/login application/json 61 - 400 - - 1.4068ms 
2025-03-12 13:23:13.8513 | INFO | Now listening on: http://localhost:5115 
2025-03-12 13:23:13.8513 | INFO | Application started. Press Ctrl+C to shut down. 
2025-03-12 13:23:13.8513 | INFO | Hosting environment: Development 
2025-03-12 13:23:13.8513 | INFO | Content root path: F:\Rohanshu\RKIT-Main\RKIT-Training\DOTNET-CORE\FullDemo 
2025-03-12 13:23:14.7756 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/swagger/index.html - - 
2025-03-12 13:23:15.4025 | INFO | Request starting HTTP/1.1 GET http://localhost:5115/_framework/aspnetcore-browser-refresh.js - - 
